var,label,dom,c2023,n_waves
POLPAR05,참여활동에 대한 의견5: 이웃사람들 사이의 관심 정도,지역·주거·교통·개발,0.99,1
POLPAR06,참여활동에 대한 의견6: 이웃사람들의 나에 대한 도움,신뢰·기관·사회자본,0.97,1
PERTRT1,대인 신뢰1: 친척,신뢰·기관·사회자본,1.0,1
PERTRT2,대인 신뢰2: 친구,신뢰·기관·사회자본,1.0,1
PERTRT3,대인 신뢰3: 이웃,신뢰·기관·사회자본,0.99,1
PERTRT4,대인 신뢰4: 직장동료,노동·직업,0.84,1
PERTRT5,대인 신뢰5: 낯선 사람,신뢰·기관·사회자본,0.98,1
PERTRT6,대인 신뢰6: 의사,신뢰·기관·사회자본,1.0,1
PERTRT7,대인 신뢰7: 은행원,신뢰·기관·사회자본,0.99,1
PERTRT8,대인 신뢰8: 회사 임원,신뢰·기관·사회자본,0.93,1
PERTRT9,대인 신뢰9: 언론인,신뢰·기관·사회자본,0.97,1
PERTRT10,대인 신뢰10: 비정부조직 / 비영리조직의 장,정치·정부·민주주의,0.95,1
PERTRT11,대인 신뢰11: 학교교사,신뢰·기관·사회자본,0.99,1
PERTRT12,대인 신뢰12: 지방정부 공무원,정치·정부·민주주의,0.99,1
PERTRT13,대인 신뢰13: 중앙정부 공무원,정치·정부·민주주의,0.98,1
PERTRT14,대인 신뢰14: 경찰관,신뢰·기관·사회자본,0.99,1
PERTRT15,대인 신뢰15: 군 장교,신뢰·기관·사회자본,0.97,1
PERTRT16,대인 신뢰16: 판사,신뢰·기관·사회자본,0.97,1
PERTRT17,대인 신뢰17: 검사,신뢰·기관·사회자본,0.98,1
HUMNAT,인간의 본성의 선악에 대한 의견,기타,0.99,4
RESIHOW,같은 지역(동네/도시)내 거주 기간,지역·주거·교통·개발,1.0,1
SIMNONKN,생각과 행동이 비슷한 사람과 다른 사람 중 더 많이 접촉하는 사람,기타,0.97,1
GIVELTFM,지원 제공_개인적 문제나 고민 들어 주기: 같이 사는 가족,가족·젠더·출산,1.0,1
GIVELTNF,지원 제공_개인적 문제나 고민 들어 주기: 기타 친척,기타,1.0,1
GIVELTWK,지원 제공_개인적 문제나 고민 들어 주기: 직장 동료,노동·직업,1.0,1
GIVELTNE,지원 제공_개인적 문제나 고민 들어 주기: 이웃,지역·주거·교통·개발,1.0,1
GIVELTFR,지원 제공_개인적 문제나 고민 들어 주기: 친구,기타,1.0,1
GIVELTNO,지원 제공_개인적 문제나 고민 들어 주기: 아무도 돕지 않았다,기타,1.0,1
GIVELTNN,지원 제공_개인적 문제나 고민 들어 주기: 그러한 요구가 전혀 없었다,기타,1.0,1
GIVEECFM,지원 제공_경제적으로 지원하기: 같이 사는 가족,경제·복지·세금·불평등,1.0,1
GIVEECNF,지원 제공_경제적으로 지원하기: 기타 친척,경제·복지·세금·불평등,1.0,1
GIVEECWK,지원 제공_경제적으로 지원하기: 직장 동료,경제·복지·세금·불평등,1.0,1
GIVEECNE,지원 제공_경제적으로 지원하기: 이웃,경제·복지·세금·불평등,1.0,1
GIVEECFR,지원 제공_경제적으로 지원하기: 친구,경제·복지·세금·불평등,1.0,1
GIVEECNO,지원 제공_경제적으로 지원하기: 아무도 돕지 않았다,경제·복지·세금·불평등,1.0,1
GIVEECNN,지원 제공_경제적으로 지원하기: 그러한 요구가 전혀 없었다,경제·복지·세금·불평등,1.0,1
GIVECRFM,지원 제공_가사일이나 돌봄 제공하기: 같이 사는 가족,가족·젠더·출산,1.0,1
GIVECRNF,지원 제공_가사일이나 돌봄 제공하기: 기타 친척,기타,1.0,1
GIVECRWK,지원 제공_가사일이나 돌봄 제공하기: 직장 동료,노동·직업,1.0,1
GIVECRNE,지원 제공_가사일이나 돌봄 제공하기: 이웃,지역·주거·교통·개발,1.0,1
GIVECRFR,지원 제공_가사일이나 돌봄 제공하기: 친구,기타,1.0,1
GIVECRNO,지원 제공_가사일이나 돌봄 제공하기: 아무도 돕지 않았다,기타,1.0,1
GIVECRNN,지원 제공_가사일이나 돌봄 제공하기: 그러한 요구가 전혀 없었다,기타,1.0,1
LONE4WKS,지난 한 달간 감정 경험1: 교제 부족,기타,0.99,2
ISOL4WKS,지난 한 달간 감정 경험2: 고립감,기타,0.99,2
LEFT4WKS,지난 한 달간 감정 경험3: 소외감,기타,0.99,2
VOLUN12M,지난 1년간 봉사 및 자선 단체 활동 참여 경험,기타,1.0,1
LOTR323,미래에 대한 낙관적 태도 여부,기타,0.99,1
CESD1,지난 한 주간 감정 경험1: 우울감,건강·생활·행복,1.0,2
CESD2,지난 한 주간 감정 경험2: 허무감,기타,1.0,2
CESD3,지난 한 주간 감정 경험3: 불면증,기타,1.0,2
CESD4,지난 한 주간 감정 경험4: 행복감,건강·생활·행복,0.99,2
CESD5,지난 한 주간 감정 경험5: 외로움,기타,1.0,2
CESD6,지난 한 주간 감정 경험6: 즐거움,기타,1.0,2
CESD7,지난 한 주간 감정 경험7: 슬픔,기타,1.0,2
CESD8,지난 한 주간 감정 경험8: 무력감,기타,1.0,2
CESD9,지난 한 주간 감정 경험9: 활력감,기타,1.0,1
CESD10,지난 한 주간 감정 경험10: 불안감,기타,1.0,1
CESD11,지난 한 주간 감정 경험11: 평온함,기타,1.0,1
SELFLIF1,삶을 결정할 자유가 있는지 여부,기타,1.0,1
SELFLIF2,내 능력을 보여줄 기회가 있는지 여부,기타,1.0,1
SELFLIF3,일에서 성취감을 느끼는지 여부,기타,0.99,1
SOCNET1,동네 사람들이 서로를 돕는지 여부,지역·주거·교통·개발,0.93,1
SOCNET2,사람들이 나를 존중하는지 여부,기타,0.95,1
SELFLIF4,내가 하는 일이 가치 있고 타인에게 도움이 된다고 느끼는지 여부,신뢰·기관·사회자본,0.99,1
SELFLIF5,내가 잘하는 일이 많다고 느끼는지 여부,기타,0.99,1
SOCNET3,동네 사람들에게 친밀감을 느끼는지 여부,지역·주거·교통·개발,0.98,1
SELFLIF6,원하는 일을 하는 데 투자하는 시간,기타,0.99,1
SOCNET4,주변 환경과 사람들에 대한 관심 정도,환경·에너지·원자력,1.0,1
SOCNET5,지인들로부터의 도움과 지원 제공 정도,신뢰·기관·사회자본,0.99,1
SOCNET6,지인들에 대한 도움과 지원 제공 정도,신뢰·기관·사회자본,0.99,1
SOCNET7,주변 사람들과 사교적 만남 여부,기타,0.99,1
SOCNET8,개인적 문제를 의논할 수 있는 사람 수,기타,1.0,1
SOCNET9,또래 대비 사교활동 참여 정도,기타,0.99,1
RELATE,응답자와의 관계,기타,1.0,4
AWAY,응답자 동거여부,기타,1.0,4
RELATE2,가구원2: 응답자와의 관계,기타,0.65,4
GENDER2,가구원2: 성별,기타,0.65,4
OLD2,가구원2: 연령(만),기타,0.65,4
MAR2,가구원2: 혼인상태,기타,0.65,4
AWAY2,가구원2: 동거여부,기타,0.65,4
EMPLY2,가구원2: 취업여부,기타,0.65,4
HHWHO,가구주 가구원번호,기타,1.0,4
HDHEAD,가구주와 응답자와의관계,기타,1.0,4
HHSEX,가구주: 성별,기타,1.0,4
HHAGE,가구주: 연령(만),기타,1.0,4
HHMARI,가구주: 혼인상태,기타,0.99,4
HHAWAY,가구주와 동거여부,기타,1.0,4
HHEMPLY,가구주: 취업 여부,기타,1.0,4
HHDNO,가구번호,기타,1.0,4
HOMPOP,"동거가족수 (응답자포함, 별거가족제외)",가족·젠더·출산,1.0,4
SEPAPOP,별거가족수,가족·젠더·출산,1.0,4
UNRELAT,가족 아닌 동거인 수,가족·젠더·출산,1.0,4
REGION,지역,지역·주거·교통·개발,1.0,4
URBAN,도시/농촌,기타,1.0,4
SAMPLEAB,설문지 유형,기타,1.0,4
INTDATM,면접 월,기타,1.0,4
INTDATD,면접 일,기타,1.0,4
